period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,3-May,61.1,2048.000000,1024.000000,0.000000,0.777835,652.588036,1019.000000,-0.020010,0.589454,-1.069988,1040.000000,0.064031,-2674.889326,1031.000000,0.028014,0.063634,-0.010019,-0.404197,923.000000,0.000699,0.196096,1073.000000,958.000000,-0.264129,-0.001581,21.177556,-3.556338,-0.037826,109.000000,-0.328160,-1.346201,32.520015,0.036985,1031.000000,0.028014,0.063634,-2674.889326,0.000058,-0.000061,4272.460938,0.000000,1464.843750,-3.254767,7202.148438,-3.036658,5737.304688
ACC,T8,4-May,61.1,2048.000000,1024.000000,0.000000,0.780356,637.699150,1018.000000,-0.024012,0.556587,-0.934592,1042.000000,0.072035,-2231.099726,1032.000000,0.032016,0.050246,-0.009447,-0.444217,913.000000,-0.001988,0.240117,1084.000000,952.000000,-0.288141,-0.000792,18.400066,-3.869419,-0.038482,106.000000,-0.364178,-1.207716,27.936015,0.018509,1032.000000,0.032016,0.050246,-2231.099726,0.000062,-0.000064,3906.250000,0.000000,1220.703125,-3.674627,6347.656250,-3.021263,5126.953125
ACC,T8,5-May,61.1,2048.000000,1024.000000,0.000000,0.854203,704.688943,1018.000000,-0.024012,0.605121,-0.994503,1043.000000,0.076037,-2327.899808,1033.000000,0.036018,0.016041,-0.009580,-0.476233,905.000000,-0.002517,0.252123,1087.000000,947.000000,-0.308150,-0.000495,17.815874,-4.340705,-0.040524,104.000000,-0.392191,-1.276203,25.239390,0.024611,1033.000000,0.036018,0.016041,-2327.899808,0.000070,-0.000073,3662.109375,0.000000,1220.703125,-3.263902,6103.515625,-3.057015,4882.812500
ACC,T8,7-May,61.1,2048.000000,1024.000000,0.000000,0.829755,650.450924,1018.000000,-0.024012,0.604652,-0.970598,1044.000000,0.080039,-2174.058576,1033.000000,0.036018,0.112123,-0.009420,-0.500244,899.000000,-0.003090,0.264129,1090.000000,944.000000,-0.320156,-0.000980,17.361131,-4.650718,-0.040178,103.000000,-0.408199,-1.233722,24.113463,0.024108,1034.000000,0.040020,-0.061345,-2145.312893,0.000071,-0.000074,3540.039062,0.000000,1098.632812,-3.805185,5859.375000,-3.110400,4760.742188
ACC,T8,8-May,61.1,2048.000000,1024.000000,0.000000,0.838382,650.178804,1018.000000,-0.024012,0.621746,-0.991786,1043.000000,0.076037,-2324.581213,1033.000000,0.036018,0.016810,-0.010092,-0.508248,897.000000,-0.003853,0.264129,1090.000000,943.000000,-0.324158,-0.000809,17.747472,-4.886104,-0.041161,102.000000,-0.416203,-1.271245,25.211307,0.017571,1033.000000,0.036018,0.016810,-2324.581213,0.000072,-0.000073,3540.039062,0.000000,1098.632812,-3.792017,5981.445312,-3.082729,4882.812500
ACC,T8,11-May,61.1,2048.000000,1024.000000,0.000000,0.766755,572.615916,1018.000000,-0.024012,0.569895,-0.933814,1043.000000,0.076037,-2182.922590,1033.000000,0.036018,0.007015,-0.009274,-0.524256,893.000000,-0.003777,0.264129,1090.000000,941.000000,-0.332162,-0.000051,17.215610,-4.830483,-0.039674,102.000000,-0.424207,-1.203709,26.001992,0.013441,1033.000000,0.036018,0.007015,-2182.922590,0.000068,-0.000069,3540.039062,0.000000,1098.632812,-3.582170,5981.445312,-3.153087,4882.812500
ACC,T8,12-May,61.1,2048.000000,1024.000000,0.000000,0.763517,558.488896,1018.000000,-0.024012,0.577078,-0.936575,1043.000000,0.076037,-2170.503773,1033.000000,0.036018,-0.002522,-0.008774,-0.528258,892.000000,-0.004310,0.268131,1091.000000,940.000000,-0.336164,-0.000591,16.844203,-4.851693,-0.040003,102.000000,-0.428209,-1.203127,26.066401,0.012119,1033.000000,0.036018,-0.002522,-2170.503773,0.000068,-0.000069,3540.039062,0.000000,1098.632812,-3.477916,5981.445312,-3.214111,4882.812500
ACC,T8,14-May,61.1,2048.000000,1024.000000,0.000000,0.766754,566.085817,1018.000000,-0.024012,0.572362,-0.935687,1043.000000,0.076037,-2183.970060,1033.000000,0.036018,0.017784,-0.009036,-0.524256,893.000000,-0.003770,0.272133,1092.000000,940.000000,-0.336164,-0.001138,17.568147,-4.838587,-0.039929,103.000000,-0.424207,-1.210521,26.065641,0.010234,1033.000000,0.036018,0.017784,-2183.970060,0.000069,-0.000069,3540.039062,0.000000,1098.632812,-3.464933,5859.375000,-3.010291,4760.742188
ACC,T8,15-May,61.1,2048.000000,1024.000000,0.000000,0.752730,552.333012,1018.000000,-0.024012,0.560270,-0.934764,1042.000000,0.072035,-2204.720237,1032.000000,0.032016,0.137253,-0.008875,-0.520254,894.000000,-0.004366,0.264129,1090.000000,941.000000,-0.332162,-0.000670,17.638740,-4.798964,-0.040048,102.000000,-0.424207,-1.235341,26.296921,0.011759,1033.000000,0.036018,-0.038491,-2185.102262,0.000067,-0.000067,3540.039062,0.000000,1098.632812,-3.562647,6103.515625,-3.203901,5004.882812
ACC,T8,18-May,61.1,2048.000000,1024.000000,0.000000,0.755032,577.194218,1018.000000,-0.024012,0.553072,-0.933375,1042.000000,0.072035,-2281.979190,1032.000000,0.032016,0.087627,-0.009262,-0.488238,902.000000,-0.004786,0.260127,1089.000000,946.000000,-0.312152,-0.000684,18.577135,-4.478048,-0.039152,103.000000,-0.400195,-1.212244,29.475352,0.003811,1032.000000,0.032016,0.087627,-2281.979190,0.000064,-0.000064,3662.109375,0.000000,1220.703125,-3.064838,6347.656250,-3.178328,5126.953125
ACC,T8,19-May,61.1,2048.000000,1024.000000,0.000000,0.746118,541.601927,1018.000000,-0.024012,0.562243,-0.925258,1042.000000,0.072035,-2171.033098,1032.000000,0.032016,0.123841,-0.008481,-0.516252,895.000000,-0.004367,0.268131,1091.000000,942.000000,-0.328160,-0.000757,18.174960,-4.682016,-0.039358,102.000000,-0.420205,-1.220239,26.314245,0.009591,1033.000000,0.036018,-0.049824,-2139.805735,0.000066,-0.000067,3540.039062,0.000000,1098.632812,-3.564197,5981.445312,-3.020525,4882.812500
ACC,T8,20-May,61.1,2048.000000,1024.000000,0.000000,0.738557,527.894906,1018.000000,-0.024012,0.559112,-0.916456,1043.000000,0.076037,-2100.650269,1033.000000,0.036018,-0.003308,-0.008758,-0.524256,893.000000,-0.004634,0.272133,1092.000000,941.000000,-0.332162,-0.000428,16.400226,-4.667427,-0.038302,102.000000,-0.424207,-1.186697,26.567839,0.007749,1033.000000,0.036018,-0.003308,-2100.650269,0.000067,-0.000068,3417.968750,0.000000,1098.632812,-3.424627,5859.375000,-3.024183,4760.742188
ACC,T8,21-May,61.1,2048.000000,1024.000000,0.000000,0.745569,553.921281,1018.000000,-0.024012,0.560633,-0.928697,1042.000000,0.072035,-2219.181369,1032.000000,0.032016,0.082560,-0.009113,-0.500244,899.000000,-0.003866,0.264129,1090.000000,944.000000,-0.320156,-0.001032,17.888155,-4.490862,-0.038354,103.000000,-0.408199,-1.217552,28.628350,0.004567,1032.000000,0.032016,0.082560,-2219.181369,0.000065,-0.000065,3662.109375,0.000000,1098.632812,-3.826978,6103.515625,-3.012807,5004.882812
ACC,T8,22-May,61.1,2048.000000,1024.000000,0.000000,0.724798,537.779850,1018.000000,-0.024012,0.530338,-0.908999,1042.000000,0.072035,-2164.313851,1032.000000,0.032016,0.091615,-0.008628,-0.508248,897.000000,-0.003435,0.256125,1088.000000,944.000000,-0.320156,-0.000340,16.485982,-4.541547,-0.037843,102.000000,-0.412201,-1.196229,28.495844,0.008091,1033.000000,0.036018,-0.082638,-2102.205503,0.000062,-0.000063,3662.109375,0.000000,1098.632812,-3.892911,6225.585938,-3.159617,5126.953125
ACC,T8,23-May,61.1,2048.000000,1024.000000,0.000000,0.747774,531.793910,1018.000000,-0.024012,0.564529,-0.953290,1042.000000,0.072035,-2206.780742,1032.000000,0.032016,0.111516,-0.009312,-0.524256,893.000000,-0.004352,0.264129,1090.000000,940.000000,-0.336164,-0.001144,17.422993,-4.854169,-0.039845,103.000000,-0.424207,-1.254376,26.773727,0.009536,1033.000000,0.036018,-0.064855,-2173.849812,0.000067,-0.000068,3540.039062,0.000000,1098.632812,-3.530546,5981.445312,-3.082739,4882.812500
ACC,T8,24-May,61.1,2048.000000,1024.000000,0.000000,0.742995,544.677976,1018.000000,-0.024012,0.560293,-0.921787,1043.000000,0.076037,-2120.350218,1032.000000,0.032016,0.131794,-0.009426,-0.520254,894.000000,-0.003183,0.260127,1089.000000,941.000000,-0.332162,-0.001247,16.368062,-4.725961,-0.038713,102.000000,-0.424207,-1.183166,27.321430,0.009417,1033.000000,0.036018,-0.037097,-2106.956008,0.000066,-0.000067,3540.039062,0.000000,1098.632812,-3.625597,5981.445312,-3.181694,4882.812500
ACC,T8,25-May,61.1,2048.000000,1024.000000,0.000000,0.727555,533.293851,1018.000000,-0.024012,0.544581,-0.899764,1043.000000,0.076037,-2084.256877,1032.000000,0.032016,0.140340,-0.008553,-0.520254,894.000000,-0.003365,0.260127,1089.000000,942.000000,-0.328160,-0.000809,16.166533,-4.610395,-0.037610,101.000000,-0.424207,-1.158776,27.328395,0.009612,1033.000000,0.036018,-0.025687,-2075.006485,0.000064,-0.000065,3540.039062,0.000000,1098.632812,-3.669345,5981.445312,-3.148398,4882.812500
ACC,T8,26-May,61.1,2048.000000,1024.000000,0.000000,0.723781,533.310065,1018.000000,-0.024012,0.541343,-0.899264,1042.000000,0.072035,-2104.824494,1032.000000,0.032016,0.120782,-0.008193,-0.516252,895.000000,-0.003144,0.256125,1088.000000,943.000000,-0.324158,-0.000141,15.948763,-4.513684,-0.037285,102.000000,-0.416203,-1.187070,26.022628,0.015238,1033.000000,0.036018,-0.047537,-2077.735035,0.000063,-0.000064,3540.039062,0.000000,1098.632812,-3.778780,5981.445312,-3.022387,4882.812500
ACC,T8,27-May,61.1,2048.000000,1024.000000,0.000000,0.726087,537.270673,1018.000000,-0.024012,0.538362,-0.908613,1042.000000,0.072035,-2149.209317,1032.000000,0.032016,0.105257,-0.008631,-0.508248,897.000000,-0.002853,0.256125,1088.000000,944.000000,-0.320156,-0.000675,16.045809,-4.563196,-0.037889,102.000000,-0.412201,-1.197980,27.728189,0.010147,1033.000000,0.036018,-0.066818,-2107.985850,0.000063,-0.000064,3540.039062,0.000000,1098.632812,-3.901240,6103.515625,-3.071089,5004.882812
ACC,T8,28-May,61.1,2048.000000,1024.000000,0.000000,0.716131,517.387602,1018.000000,-0.024012,0.537631,-0.897628,1042.000000,0.072035,-2077.463973,1032.000000,0.032016,0.131056,-0.008809,-0.512250,896.000000,-0.003585,0.260127,1089.000000,943.000000,-0.324158,-0.000305,15.743114,-4.476415,-0.037191,102.000000,-0.416203,-1.184130,25.989242,0.013476,1033.000000,0.036018,-0.034343,-2069.478140,0.000063,-0.000064,3540.039062,0.000000,1098.632812,-3.722984,5981.445312,-3.042393,4882.812500
ACC,T8,29-May,61.1,2048.000000,1024.000000,0.000000,0.705692,516.349637,1018.000000,-0.024012,0.526308,-0.875688,1043.000000,0.076037,-2044.014192,1032.000000,0.032016,0.128678,-0.008092,-0.512250,896.000000,-0.003300,0.260127,1089.000000,944.000000,-0.320156,-0.000091,14.843171,-4.407556,-0.036752,102.000000,-0.412201,-1.121434,28.144134,0.007145,1033.000000,0.036018,-0.034335,-2026.837763,0.000061,-0.000063,3540.039062,0.000000,1098.632812,-3.816148,6103.515625,-3.201378,5004.882812
