period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,3-May,61.1,2048.000000,1024.000000,0.000000,0.420318,352.597332,1019.000000,-0.020010,0.318564,-0.578177,1040.000000,0.064031,-1445.400441,1031.000000,0.028014,0.034286,-0.005415,-0.404197,923.000000,0.000371,0.196096,1073.000000,958.000000,-0.264129,-0.000854,11.447028,-1.921932,-0.020438,109.000000,-0.328160,-0.728115,32.827168,0.019155,1031.000000,0.028014,0.034286,-1445.400441,0.000031,-0.000033,4272.460938,0.000000,1464.843750,-3.254221,7202.148438,-3.036961,5737.304688
ACC,T8,4-May,61.1,2048.000000,1024.000000,0.000000,0.454543,371.428723,1018.000000,-0.024012,0.324190,-0.544362,1042.000000,0.072035,-1299.458456,1032.000000,0.032016,0.029313,-0.005503,-0.444217,913.000000,-0.001160,0.240117,1084.000000,952.000000,-0.288141,-0.000463,10.718079,-2.254027,-0.022415,106.000000,-0.364178,-0.703441,27.932126,0.010783,1032.000000,0.032016,0.029313,-1299.458456,0.000036,-0.000037,3906.250000,0.000000,1220.703125,-3.674215,6347.656250,-3.021537,5126.953125
ACC,T8,5-May,61.1,2048.000000,1024.000000,0.000000,0.461982,381.101549,1018.000000,-0.024012,0.327283,-0.537841,1043.000000,0.076037,-1258.919077,1033.000000,0.036018,0.008665,-0.005182,-0.476233,905.000000,-0.001366,0.252123,1087.000000,947.000000,-0.308150,-0.000270,9.633157,-2.347781,-0.021919,104.000000,-0.392191,-0.690171,25.237399,0.013309,1033.000000,0.036018,0.008665,-1258.919077,0.000038,-0.000039,3662.109375,0.000000,1220.703125,-3.263456,6103.515625,-3.057353,4882.812500
ACC,T8,7-May,61.1,2048.000000,1024.000000,0.000000,0.460461,360.940640,1018.000000,-0.024012,0.335504,-0.538618,1044.000000,0.080039,-1206.428796,1033.000000,0.036018,0.062409,-0.005226,-0.500244,899.000000,-0.001716,0.264129,1090.000000,944.000000,-0.320156,-0.000545,9.630121,-2.581020,-0.022298,103.000000,-0.408199,-0.684661,24.105270,0.013406,1034.000000,0.040020,-0.033847,-1190.606936,0.000039,-0.000041,3540.039062,0.000000,1098.632812,-3.804749,5859.375000,-3.110707,4760.742188
ACC,T8,8-May,61.1,2048.000000,1024.000000,0.000000,0.458080,355.249035,1018.000000,-0.024012,0.339715,-0.541897,1043.000000,0.076037,-1270.117764,1033.000000,0.036018,0.009173,-0.005514,-0.508248,897.000000,-0.002105,0.264129,1090.000000,943.000000,-0.324158,-0.000442,9.697545,-2.669743,-0.022489,102.000000,-0.416203,-0.694553,25.204061,0.009620,1033.000000,0.036018,0.009173,-1270.117764,0.000039,-0.000040,3540.039062,0.000000,1098.632812,-3.792048,5981.445312,-3.082722,4882.812500
ACC,T8,11-May,61.1,2048.000000,1024.000000,0.000000,0.450840,336.710020,1018.000000,-0.024012,0.335132,-0.549040,1043.000000,0.076037,-1283.403725,1033.000000,0.036018,0.003900,-0.005454,-0.524256,893.000000,-0.002224,0.264129,1090.000000,941.000000,-0.332162,-0.000031,10.123438,-2.840403,-0.023330,102.000000,-0.424207,-0.707638,26.012557,0.007820,1033.000000,0.036018,0.003900,-1283.403725,0.000040,-0.000040,3540.039062,0.000000,1098.632812,-3.582168,5981.445312,-3.153202,4882.812500
ACC,T8,12-May,61.1,2048.000000,1024.000000,0.000000,0.449053,328.466397,1018.000000,-0.024012,0.339399,-0.550832,1043.000000,0.076037,-1276.554167,1033.000000,0.036018,-0.001460,-0.005161,-0.528258,892.000000,-0.002535,0.268131,1091.000000,940.000000,-0.336164,-0.000349,9.909560,-2.853581,-0.023527,102.000000,-0.428209,-0.707609,26.064570,0.007134,1033.000000,0.036018,-0.001460,-1276.554167,0.000040,-0.000041,3540.039062,0.000000,1098.632812,-3.477853,5981.445312,-3.214225,4882.812500
ACC,T8,14-May,61.1,2048.000000,1024.000000,0.000000,0.450365,332.490510,1018.000000,-0.024012,0.336155,-0.549595,1043.000000,0.076037,-1282.828171,1033.000000,0.036018,0.010618,-0.005307,-0.524256,893.000000,-0.002217,0.272133,1092.000000,940.000000,-0.336164,-0.000669,10.318525,-2.842226,-0.023454,103.000000,-0.424207,-0.711226,26.093751,0.005945,1033.000000,0.036018,0.010618,-1282.828171,0.000040,-0.000041,3540.039062,0.000000,1098.632812,-3.464713,5859.375000,-3.010535,4760.742188
ACC,T8,15-May,61.1,2048.000000,1024.000000,0.000000,0.445479,326.833952,1018.000000,-0.024012,0.331597,-0.553223,1042.000000,0.072035,-1304.709750,1032.000000,0.032016,0.081258,-0.005255,-0.520254,894.000000,-0.002589,0.264129,1090.000000,941.000000,-0.332162,-0.000395,10.438628,-2.840429,-0.023703,102.000000,-0.424207,-0.731118,26.295715,0.006955,1033.000000,0.036018,-0.022741,-1293.158054,0.000040,-0.000040,3540.039062,0.000000,1098.632812,-3.561957,6103.515625,-3.204311,5004.882812
ACC,T8,18-May,61.1,2048.000000,1024.000000,0.000000,0.447038,341.746249,1018.000000,-0.024012,0.327439,-0.552634,1042.000000,0.072035,-1351.100870,1032.000000,0.032016,0.051973,-0.005483,-0.488238,902.000000,-0.002834,0.260127,1089.000000,946.000000,-0.312152,-0.000404,10.997149,-2.651366,-0.023179,103.000000,-0.400195,-0.717762,29.473244,0.002259,1032.000000,0.032016,0.051973,-1351.100870,0.000038,-0.000038,3662.109375,0.000000,1220.703125,-3.064803,6347.656250,-3.178339,5126.953125
