lrrk2	XM_048969273.1
LOC125752047	XM_048969274.1
LOC125704011	XM_048969275.1
LOC125704011	XM_048969276.1
slc6a2	XM_048969277.1
slc6a2	XM_048969278.1
slc6a2	XM_048969279.1
LOC125704013	XM_048969280.1
LOC125704013	XM_048969281.1
LOC125752047	XM_048969282.1
LOC125704013	XM_048969283.1
LOC125704013	XM_048969284.1
atp8b4	XM_048969285.1
atp8b4	XM_048969286.1
atp8b4	XM_048969287.1
secisbp2l	XM_048969288.1
LOC125704016	XM_048969289.1
LOC125752047	XM_048969290.1
slc12a1	XM_048969291.1
LOC125704018	XM_048969292.1
LOC125704019	XM_048969293.1
dtwd1	XM_048969294.1
dut	XM_048969295.1
fgf7	XM_048969296.1
fgf7	XM_048969297.1
fgf7	XM_048969298.1
LOC125752047	XM_048969299.1
LOC125704024	XM_048969300.1
LOC125704024	XM_048969301.1
dpep1	XM_048969302.1
sult5a1	XM_048969303.1
sult5a1	XM_048969304.1
LOC125752047	XM_048969305.1
LOC125704027	XM_048969306.1
mfge8b	XM_048969307.1
mfge8b	XM_048969308.1
LOC125704029	XM_048969309.1
LOC125704030	XM_048969310.1
ice2	XM_048969311.1
LOC125704032	XM_048969312.1
LOC125704032	XM_048969313.1
pcnt	XM_048969314.1
LOC125752047	XM_048969315.1
LOC125704032	XM_048969316.1
tars3	XM_048969317.1
LOC125704034	XM_048969318.1
LOC125704034	XM_048969319.1
LOC125704034	XM_048969320.1
LOC125704035	XM_048969321.1
LOC125704036	XM_048969322.1
LOC125704037	XM_048969323.1
LOC125704037	XM_048969324.1
ulk3	XM_048969325.1
ulk3	XM_048969326.1
gpr180	XM_048969327.1
ulk3	XM_048969328.1
LOC125704040	XM_048969329.1
LOC125704040	XM_048969330.1
LOC125704040	XM_048969331.1
ccbe1	XM_048969332.1
ccbe1	XM_048969333.1
ccbe1	XM_048969334.1
tm2d3	XM_048969335.1
LOC125704045	XM_048969336.1
LOC125704046	XM_048969337.1
LOC125704043	XM_048969338.1
wt1b	XM_048969339.1
wt1b	XM_048969340.1
bet1l	XM_048969341.1
mthfs	XM_048969342.1
mthfs	XM_048969343.1
LOC125704052	XM_048969344.1
LOC125704055	XM_048969345.1
map2k5	XM_048969346.1
aagab	XM_048969347.1
emc8	XM_048969348.1
gins2	XM_048969349.1
LOC125704060	XM_048969350.1
c11h15orf61	XM_048969351.1
c11h15orf61	XM_048969352.1
gse1b	XM_048969353.1
vps13c	XM_048969354.1
vps13c	XM_048969355.1
LOC125704062	XM_048969356.1
tln2b	XM_048969357.1
LOC125704066	XM_048969358.1
LOC125704066	XM_048969359.1
LOC125704067	XM_048969360.1
LOC125704067	XM_048969361.1
LOC125704067	XM_048969362.1
LOC125704068	XM_048969363.1
LOC125704068	XM_048969364.1
LOC125704070	XM_048969365.1
LOC125704070	XM_048969366.1
LOC125704070	XM_048969367.1
LOC125704070	XM_048969368.1
LOC125704069	XM_048969369.1
depdc7a	XM_048969370.1
depdc7a	XM_048969371.1
depdc7a	XM_048969372.1
depdc7a	XM_048969373.1
lrrc61	XM_048969374.1
lrrc61	XM_048969375.1
lrrc61	XM_048969376.1
lrrc61	XM_048969377.1
cib2	XM_048969378.1
LOC125704075	XM_048969379.1
LOC125704076	XM_048969380.1
LOC125704076	XM_048969381.1
LOC125704076	XM_048969382.1
mtx2	XM_048969383.1
LOC125704077	XM_048969384.1
LOC125704077	XM_048969385.1
LOC125704078	XM_048969386.1
LOC125704078	XM_048969387.1
LOC125704079	XM_048969388.1
LOC125704079	XM_048969389.1
rcn1	XM_048969390.1
rcn1	XM_048969391.1
pcnt	XM_048969392.1
rcn1	XM_048969393.1
LOC125704082	XM_048969394.1
LOC125704082	XM_048969395.1
LOC125704082	XM_048969396.1
LOC125704081	XM_048969397.1
LOC125704082	XM_048969398.1
polr2l	XM_048969399.1
polr2l	XM_048969400.1
LOC125704084	XM_048969401.1
LOC125704085	XM_048969402.1
LOC125704085	XM_048969403.1
afg3l1	XM_048969404.1
bola3	XM_048969405.1
bola3	XM_048969406.1
LOC125704089	XM_048969407.1
LOC125704090	XM_048969408.1
LOC125704088	XM_048969409.1
LOC125704091	XM_048969410.1
LOC125704091	XM_048969411.1
LOC125704091	XM_048969412.1
LOC125704092	XM_048969413.1
LOC125704092	XM_048969414.1
LOC125704092	XM_048969415.1
LOC125704092	XM_048969416.1
LOC125704093	XM_048969417.1
LOC125704093	XM_048969418.1
LOC125704093	XM_048969419.1
LOC125704093	XM_048969420.1
LOC125704095	XM_048969421.1
LOC125704095	XM_048969422.1
LOC125704094	XM_048969423.1
LOC125704096	XM_048969424.1
LOC125704097	XM_048969425.1
LOC125704097	XM_048969426.1
LOC125704097	XM_048969427.1
LOC125704097	XM_048969428.1
LOC125704100	XM_048969429.1
LOC125704101	XM_048969430.1
LOC125704103	XM_048969431.1
spata5l1	XM_048969432.1
LOC125704102	XM_048969433.1
LOC125704106	XM_048969434.1
fkbp16	XM_048969435.1
tnfaip8l3	XM_048969436.1
LOC125704109	XM_048969437.1
gjd6	XM_048969438.1
prtga	XM_048969439.1
LOC125704102	XM_048969440.1
LOC125704112	XM_048969441.1
LOC125704113	XM_048969442.1
LOC125704114	XM_048969443.1
LOC125704115	XM_048969444.1
LOC125704116	XM_048969445.1
LOC125704117	XM_048969446.1
LOC125704118	XM_048969447.1
LOC125704120	XM_048969448.1
bco1	XM_048969449.1
LOC125704122	XM_048969450.1
LOC125704122	XM_048969451.1
LOC125704119	XM_048969452.1
LOC125704123	XM_048969453.1
LOC125704124	XM_048969454.1
LOC125704125	XM_048969455.1
trpm1a	XM_048969456.1
LOC125704127	XM_048969457.1
LOC125704129	XM_048969458.1
LOC125704131	XM_048969459.1
LOC125704132	XM_048969460.1
aldh1a2	XM_048969461.1
LOC125704130	XM_048969462.1
LOC125704134	XM_048969463.1
LOC125704134	XM_048969464.1
LOC125704134	XM_048969465.1
LOC125704134	XM_048969466.1
LOC125704134	XM_048969467.1
LOC125704134	XM_048969468.1
LOC125704134	XM_048969469.1
LOC125704134	XM_048969470.1
pcnt	XM_048969471.1
LOC125704130	XM_048969472.1
LOC125704135	XM_048969473.1
LOC125704136	XM_048969474.1
slc22a31	XM_048969475.1
LOC125704139	XM_048969476.1
LOC125704140	XM_048969477.1
LOC125704141	XM_048969478.1
LOC125704130	XM_048969479.1
LOC125704142	XM_048969480.1
LOC125704142	XM_048969481.1
LOC125704142	XM_048969482.1
LOC125704142	XM_048969483.1
LOC125704142	XM_048969484.1
LOC125704142	XM_048969485.1
fah	XM_048969486.1
tlnrd1	XM_048969487.1
zfand6	XM_048969488.1
zfand6	XM_048969489.1
zfand6	XM_048969490.1
zfand6	XM_048969491.1
zfand6	XM_048969492.1
LOC125704147	XM_048969493.1
LOC125704147	XM_048969494.1
LOC125704149	XM_048969495.1
chrna5	XM_048969496.1
LOC125704152	XM_048969497.1
LOC125704152	XM_048969498.1
LOC125704153	XM_048969499.1
LOC125704154	XM_048969500.1
mrpl46	XM_048969501.1
LOC125704156	XM_048969502.1
chtf8	XM_048969503.1
dnaaf1	XM_048969504.1
dnaaf1	XM_048969505.1
dnaaf1	XM_048969506.1
dnaaf1	XM_048969507.1
slc38a8b	XM_048969508.1
slc38a8b	XM_048969509.1
LOC125704161	XM_048969510.1
ckmt1	XM_048969511.1
ckmt1	XM_048969512.1
ckmt1	XM_048969513.1
polr2m	XM_048969514.1
polr2m	XM_048969515.1
polr2m	XM_048969516.1
LOC125704166	XM_048969517.1
LOC125704168	XM_048969518.1
LOC125704168	XM_048969519.1
LOC125704169	XM_048969520.1
acanb	XM_048969521.1
LOC125704171	XM_048969522.1
LOC125704172	XM_048969523.1
LOC125704172	XM_048969524.1
hapln3	XM_048969525.1
fam189a1	XM_048969526.1
gtf2a2	XM_048969527.1
ntrk3b	XM_048969528.1
LOC125704178	XM_048969529.1
LOC125704178	XM_048969530.1
LOC125704178	XM_048969531.1
LOC125704179	XM_048969532.1
LOC125704179	XM_048969533.1
LOC125704179	XM_048969534.1
LOC125704180	XM_048969535.1
LOC125704180	XM_048969536.1
LOC125704182	XM_048969537.1
LOC125704182	XM_048969538.1
LOC125704183	XM_048969539.1
LOC125704184	XM_048969540.1
LOC125704184	XM_048969541.1
psma4	XM_048969542.1
LOC125704186	XM_048969543.1
LOC125704187	XM_048969544.1
crabp1b	XM_048969545.1
pcnt	XM_048969546.1
tmem276b	XM_048969547.1
zgc:162634	XM_048969548.1
vat1l	XM_048969549.1
LOC125704197	XM_048969550.1
LOC125704198	XM_048969551.1
ap1g1	XM_048969552.1
ap1g1	XM_048969553.1
ap1g1	XM_048969554.1
ap1g1	XM_048969555.1
atxn1l	XM_048969556.1
znf821	XM_048969557.1
znf821	XM_048969558.1
znf821	XM_048969559.1
znf821	XM_048969560.1
ist1	XM_048969561.1
ist1	XM_048969562.1
LOC125704204	XM_048969563.1
LOC125704204	XM_048969564.1
si:cabz01068815.1	XM_048969565.1
rasl12	XM_048969566.1
rasl12	XM_048969567.1
rasl12	XM_048969568.1
tex9	XM_048969569.1
tex9	XM_048969570.1
tex9	XM_048969571.1
tex9	XM_048969572.1
tex9	XM_048969573.1
tex9	XM_048969574.1
tex9	XM_048969575.1
tex9	XM_048969576.1
tex9	XM_048969577.1
tex9	XM_048969578.1
tex9	XM_048969579.1
tex9	XM_048969580.1
tex9	XM_048969581.1
tex9	XM_048969582.1
tex9	XM_048969583.1
tex9	XM_048969584.1
tex9	XM_048969585.1
tex9	XM_048969586.1
tex9	XM_048969587.1
tex9	XM_048969588.1
tex9	XM_048969589.1
tex9	XM_048969590.1
LOC125704214	XM_048969591.1
LOC125704214	XM_048969592.1
LOC125704214	XM_048969593.1
LOC125704214	XM_048969594.1
LOC125704214	XM_048969595.1
LOC125704214	XM_048969596.1
trpm5	XM_048969597.1
dhdh.2	XM_048969598.1
LOC125704218	XM_048969599.1
LOC125704219	XM_048969600.1
LOC125704220	XM_048969601.1
adamts18	XM_048969602.1
adamts18	XM_048969603.1
chrna3	XM_048969604.1
LOC125704223	XM_048969605.1
LOC125704225	XM_048969606.1
LOC125704226	XM_048969607.1
zgc:162592	XM_048969608.1
zgc:162592	XM_048969609.1
zgc:162592	XM_048969610.1
zgc:162592	XM_048969611.1
hprt1l	XM_048969612.1
hprt1l	XM_048969613.1
hprt1l	XM_048969614.1
hprt1l	XM_048969615.1
gatm	XM_048969616.1
gatm	XM_048969617.1
LOC125704231	XM_048969618.1
LOC125704231	XM_048969619.1
LOC125704231	XM_048969620.1
pkd1l2a	XM_048969621.1
nav2a	XM_048969622.1
nav2a	XM_048969623.1
nav2a	XM_048969624.1
LOC125704235	XM_048969625.1
pcnt	XM_048969626.1
tmem14ca	XM_048969627.1
LOC125704235	XM_048969628.1
LOC125704235	XM_048969629.1
LOC125704235	XM_048969630.1
LOC125704235	XM_048969631.1
LOC125704236	XM_048969632.1
LOC125704236	XM_048969633.1
LOC125704236	XM_048969634.1
LOC125704237	XM_048969635.1
LOC125704238	XM_048969636.1
LOC125704238	XM_048969637.1
LOC125704238	XM_048969638.1
LOC125704238	XM_048969639.1
LOC125704238	XM_048969640.1
LOC125704239	XM_048969641.1
LOC125704238	XM_048969642.1
LOC125704238	XM_048969643.1
LOC125704238	XM_048969644.1
LOC125704238	XM_048969645.1
LOC125704238	XM_048969646.1
LOC125704238	XM_048969647.1
LOC125704240	XM_048969648.1
LOC125704240	XM_048969649.1
LOC125704240	XM_048969650.1
LOC125704240	XM_048969651.1
LOC125704239	XM_048969652.1
LOC125704240	XM_048969653.1
LOC125704240	XM_048969654.1
LOC125704240	XM_048969655.1
LOC125704240	XM_048969656.1
LOC125704240	XM_048969657.1
LOC125704240	XM_048969658.1
LOC125704241	XM_048969659.1
LOC125704242	XM_048969660.1
LOC125704242	XM_048969661.1
LOC125704242	XM_048969662.1
e2f8	XM_048969663.1
e2f8	XM_048969664.1
LOC125704245	XM_048969665.1
slc15a1a	XM_048969666.1
slc6a5	XM_048969667.1
slc6a5	XM_048969668.1
slc6a5	XM_048969669.1
slc6a5	XM_048969670.1
LOC125704247	XM_048969671.1
LOC125704247	XM_048969672.1
LOC125704248	XM_048969673.1
LOC125704249	XM_048969674.1
zdhhc13	XM_048969675.1
zdhhc13	XM_048969676.1
LOC125704252	XM_048969677.1
kmt2ca	XM_048969678.1
